Epoch,Loss
1,27.928310844054145
2,21.841644361048484
3,20.918363301692235
4,20.469113561263008
5,20.19038719934246
6,20.00847462113675
7,19.865906841851718
8,19.718545891488276
9,19.622435680496633
10,19.53124418040529
11,19.447120283273307
12,19.376154452195482
13,19.314757212238145
14,19.247392867190992
15,19.212236599845088
16,19.159292843791683
17,19.11800285910456
18,19.06697559413633
19,19.041564651278478
20,19.001811197832097
21,18.96438402144453
22,18.921180404986877
23,18.88528776024274
24,18.869030625641006
25,18.83717003443345
26,18.53016851440239
27,18.513388868708088
28,18.5058263745265
29,18.4945528371444
30,18.490452348627457
31,18.485869942463957
32,18.48098870276879
33,18.47430004408621
34,18.47177201401064
35,18.46418663832538
36,18.458985243609302
37,18.457302006250703
38,18.453210596343556
39,18.44888826295249
40,18.444087509392332
41,18.441034824450007
42,18.436874998375792
43,18.431604270174642
44,18.42988147217409
45,18.427242143899228
46,18.42303445780297
47,18.417338695724112
48,18.41280077094215
49,18.412331622925485
50,18.40937876258947
51,18.37349947681984
52,18.37050241568105
53,18.36982318302868
54,18.36937073011642
55,18.369503459925163
56,18.36917240514971
57,18.36824327401766
58,18.36764843043829
59,18.36700045657294
60,18.36657207585555
61,18.366623947796917
62,18.363826103668625
63,18.36666171397003
64,18.366106514936856
65,18.3639779823702
66,18.364982193102847
67,18.36398237909702
68,18.364847855885063
69,18.36388928884096
70,18.362714191296075
71,18.363254701874393
72,18.362851245732248
73,18.362982653003392
74,18.361748588582337
75,18.361968311693175
76,18.35794702720362
77,18.357320255793436
78,18.357110716020625
79,18.35729686146862
80,18.35734627565741
81,18.355950875775505
82,18.35724371381483
83,18.356877272496565
84,18.356176207066895
85,18.356383183610017
86,18.35711168270437
87,18.35693323528988
88,18.356462876126102
89,18.357291046560807
90,18.35669146737434
91,18.357148529303636
92,18.35708730178744
93,18.35469173649184
94,18.3568769023411
95,18.35514816614978
96,18.356285030824743
97,18.35563772845614
98,18.356290957561075
99,18.356858927472516
100,18.35535554366363
